Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,R.A. (h:m:s),Decl. (d:m:s),R.A. (deg),Decl. (deg),SpT_OPT,Ref,SpT_NIR,Ref,Peculiarities,Ref,Candidacy,Type,Ref,D_Trig,eD_Trig-,eD_Trig+,Ref,2MASS-WISE-μα,2MASS-WISE-μδ,μα,μδ,Ref,RV,Ref,2MASS-J,2MASS-H,2MASS-K,WISE-W1,WISE-W2,WISE-W3,WISE-W4,USNO-B,USNO-R,SDSS-u’,SDSS-g’,SDSS-r’,SDSS-i’,SDSS-z’,DENIS-I,DENIS-J,DENIS-KS,CSS-I,UCAC4-R,UCAC4-I,IRAC-ch1,Ref,IRAC-ch2,Ref,IRAC-ch3,Ref,IRAC-ch4,Ref,MKO-Y,Ref,MKO-J,Ref,MKO-H,Ref,MKO-K,Ref,MKO-L’,Ref,CH4on,Ref,CFHT-Y,Ref,VJ,Ref,RC,Ref,IC,Ref,InDwarfArchive,Comments
J0014-1041,00144026-1041423,001440.28-104142.6,,,West2008,0:14:40,-10:41:42,3.667767,-10.69508,M9,West2008,...,...,...,...,...,...,...,,,,,33.8 ± 29.5,-30.7 ± 31.3,,,,,,16.527 ± 0.109,16.085 ± 0.166,15.475 ± 0.175,15.169 ± 0.044,14.997 ± 0.105,12.103,,,,25.57 ± 1.15,25.45 ± 0.80,24.23 ± 0.73,20.53 ± 0.05,18.63 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014+1355,00145190+1355163,001451.92+135516.0,,,West2008,0:14:53,13:54:32,3.718844,13.90888,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,19.7 ± 23.7,-26.5 ± 25.3,,,,,,15.804 ± 0.059,15.514 ± 0.086,15.360 ± 0.156,15.311 ± 0.047,15.341 ± 0.136,12.591,,,,25.99 ± 0.51,24.09 ± 0.80,23.52 ± 0.33,20.44 ± 0.04,18.90 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0015+1448,00150444+1448385,001504.41+144838.2,,,West2008,0:15:04,14:48:38,3.768464,14.81069,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-36.1 ± 13.1,-25.2 ± 14.4,,,,,,15.582 ± 0.052,14.895 ± 0.065,14.508 ± 0.068,14.369 ± 0.033,14.191 ± 0.052,12.729,,,,23.37 ± 0.51,22.19 ± 0.09,20.60 ± 0.03,18.40 ± 0.02,17.22 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0015+1602,00151021+1602448,001510.21+160243.9,,,West2008,0:15:10,16:02:45,3.792593,16.0457,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,0.8 ± 9.4,-74.3 ± 9.5,,,,,,15.478 ± 0.050,14.893 ± 0.060,14.752 ± 0.086,14.454 ± 0.032,14.332 ± 0.062,12.618,,,,23.64 ± 0.77,21.80 ± 0.07,20.11 ± 0.03,18.12 ± 0.01,17.11 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0015-0848,00152109-0848192,001521.06-084819.5,,,West2008,0:15:21,-8:48:19,3.837867,-8.8054,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-33.1 ± 27.9,-35.0 ± 27.7,,,,,,16.094 ± 0.073,15.547 ± 0.099,15.240 ± 0.142,15.167 ± 0.046,15.254 ± 0.115,12.439,,,,23.61 ± 1.03,22.61 ± 0.13,20.92 ± 0.05,18.98 ± 0.03,17.96 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0015-0100,00152519-0100036,001525.25-010004.0,,,West2008,0:15:25,-1:00:04,3.854963,-1.00107,M6,West2008,...,...,...,...,...,...,...,,,,,86.3 ± 12.9,-37.5 ± 11.9,,,,,,14.642 ± 0.031,14.092 ± 0.039,13.735 ± 0.044,13.518 ± 0.028,13.287 ± 0.037,12.064,,,,23.41 ± 0.84,21.51 ± 0.07,19.79 ± 0.02,17.60 ± 0.02,16.41 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0015-1026,00154071-1026259,001540.73-102626.4,,,West2008,0:15:41,-10:26:26,3.919589,-10.44058,M7,West2008,...,...,...,...,...,...,...,,,,,36.1 ± 15.9,-44.8 ± 16.2,,,,,,15.538 ± 0.051,15.032 ± 0.079,14.639 ± 0.107,14.503 ± 0.035,14.298 ± 0.062,12.671,,,,23.17 ± 0.82,22.77 ± 0.16,21.47 ± 0.07,18.80 ± 0.02,17.50 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016+1528,00163974+1528471,001639.78+152846.8,,,West2008,0:16:40,15:28:47,4.165631,15.4797,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,41.7 ± 27.7,-25.6 ± 29.8,,,,,,16.692 ± 0.122,16.018 ± 0.152,>15.731,15.526 ± 0.053,15.477 ± 0.161,12.545,,,,24.14 ± 0.82,23.13 ± 0.19,21.44 ± 0.06,19.45 ± 0.02,18.36 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-0941,00164625-0941449,001646.22-094144.8,,,West2008,0:16:46,-9:41:45,4.192649,-9.69582,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-40.0 ± 18.4,3.7 ± 18.1,,,,,,15.900 ± 0.076,15.167 ± 0.094,15.195 ± 0.134,14.751 ± 0.038,14.757 ± 0.084,12.719,,,,24.00 ± 1.14,22.25 ± 0.10,20.56 ± 0.04,18.68 ± 0.02,17.60 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-0041,00164800-0041120,001648.07-004111.6,,,West2008,0:16:48,23:18:47,4.200055,-0.68668,M7,West2008,...,...,...,...,...,...,...,,,,,95.1 ± 14.9,31.8 ± 14.6,,,,,,15.630 ± 0.055,15.052 ± 0.096,14.517 ± 0.095,14.380 ± 0.032,14.152 ± 0.058,12.308,,,,23.54 ± 1.01,23.11 ± 0.21,21.68 ± 0.09,18.96 ± 0.02,17.48 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-0935,00165500-0935528,001655.02-093552.2,,,West2008,0:16:55,-9:35:53,4.229065,-9.59799,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,22.5 ± 30.8,47.8 ± 31.5,,,,,,16.783 ± 0.137,15.942 ± 0.193,15.522 ± 0.209,15.489 ± 0.052,15.085 ± 0.099,12.719,,,,25.37 ± 1.06,23.84 ± 0.35,21.77 ± 0.09,19.46 ± 0.03,18.19 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0017-0406,00171857-0406062,,,,,0:17:19,-4:06:06,4.32738,-4.101733,M6.5,Cruz2007,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0017+1550,00171906+1550473,001719.23+155046.3,,,West2008,0:17:19,15:50:47,4.329587,15.8464,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,211.8 ± 17.0,-85.8 ± 17.9,,,,,,15.739 ± 0.056,15.397 ± 0.090,14.977 ± 0.114,14.735 ± 0.037,14.530 ± 0.088,12.311,,,,22.92 ± 0.46,22.19 ± 0.09,20.63 ± 0.03,18.37 ± 0.02,17.27 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0017-0850,00173265-0850431,001732.66-085043.7,,,West2008,0:17:33,-8:50:43,4.386064,-8.84537,M8,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,1.9 ± 30.1,-48.6 ± 32.6,,,,,,16.811 ± 0.148,15.686 ± 0.132,>15.474,15.628 ± 0.059,15.385 ± 0.150,12.661,,,,24.07 ± 1.20,24.65 ± 0.62,23.57 ± 0.49,20.53 ± 0.06,18.88 ± 0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0017-0008,00174037-0008325,001740.39-000833.0,,,West2008,0:17:40,23:51:26,4.418166,-0.14239,M6,West2008,...,...,...,...,...,...,...,,,,,21.7 ± 29.2,-46.3 ± 28.2,,,,,,16.551 ± 0.123,15.702 ± 0.141,>16.051,15.526 ± 0.054,15.219 ± 0.124,12.574,,,,24.35 ± 1.11,22.38 ± 0.11,20.97 ± 0.04,19.08 ± 0.02,18.12 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0017+1453,00175339+1453242,,,,,0:17:53,14:53:24,4.472465,14.890075,M6.5,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-0037,00180105-0037341,001801.07-003734.2,,,West2008,0:18:01,23:22:25,4.504468,-0.62618,M6,West2008,...,...,...,...,...,...,...,,,,,20.0 ± 11.4,-11.5 ± 13.7,,,,,,14.871 ± 0.034,14.251 ± 0.037,13.862 ± 0.043,13.676 ± 0.027,13.471 ± 0.039,12.492,,,,24.98 ± 1.38,21.97 ± 0.08,20.19 ± 0.03,17.91 ± 0.01,16.64 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018+0013,00180926+0013139,001809.27+001313.8,,,West2008,0:18:09,0:13:14,4.538636,0.22049,M6,West2008,...,...,...,...,...,...,...,,,,,16.8 ± 17.2,-8.2 ± 26.4,,,,,,15.363 ± 0.046,14.792 ± 0.053,14.377 ± 0.057,14.108 ± 0.031,13.891 ± 0.046,12.696,,,,24.90 ± 1.28,21.95 ± 0.08,20.42 ± 0.04,18.17 ± 0.02,17.00 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-0048,00182291-0048050,001822.85-004805.8,,,West2008,0:18:23,23:11:54,4.595217,-0.80145,M6,West2008,...,...,...,...,...,...,...,,,,,-68.4 ± 9.7,-72.9 ± 11.4,,,,,,14.541 ± 0.036,14.000 ± 0.053,13.629 ± 0.047,13.241 ± 0.025,12.991 ± 0.029,12.629 ± 0.525,,,,25.45 ± 1.21,21.94 ± 0.12,20.22 ± 0.07,18.07 ± 0.05,16.83 ± 0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-1038,00183855-1038177,001838.55-103817.7,,,West2008,0:18:39,-10:38:18,4.660599,-10.63838,M6,West2008,...,...,...,...,...,...,...,,,,,-0.8 ± 14.3,4.6 ± 16.6,,,,,,15.598 ± 0.057,14.887 ± 0.064,14.608 ± 0.093,14.363 ± 0.031,14.200 ± 0.057,12.665,,,,24.08 ± 1.37,22.25 ± 0.11,20.66 ± 0.04,18.41 ± 0.02,17.22 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018-1016,00184898-1016126,,,,West2008,0:18:49,-10:16:13,4.704099,-10.27024,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.088 ± 0.076,15.552 ± 0.125,14.984 ± 0.124,,,,,,,26.22 ± 0.59,22.68 ± 0.15,21.27 ± 0.07,19.16 ± 0.02,18.00 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0018+1433,00185114+1433058,001851.13+143305.8,,,West2008,0:18:51,14:33:06,4.713143,14.55158,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-13.0 ± 11.0,3.7 ± 9.1,,,,,,15.684 ± 0.062,15.132 ± 0.081,14.687 ± 0.098,14.411 ± 0.032,14.203 ± 0.068,12.184,,,,23.35 ± 0.60,23.04 ± 0.17,21.32 ± 0.06,18.88 ± 0.02,17.47 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019+0017,00190101+0017463,001901.02+001746.2,,,West2008,0:19:01,0:17:46,4.754216,0.29623,M8,West2008,...,...,...,...,...,...,...,,,,,7.7 ± 14.2,-7.9 ± 20.5,,,,,,15.099 ± 0.044,14.282 ± 0.035,14.000 ± 0.047,13.719 ± 0.028,13.593 ± 0.043,11.974,,,,25.82 ± 0.84,22.38 ± 0.10,20.76 ± 0.04,18.42 ± 0.02,16.99 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019+4614,00192626+4614078,,,2MUCD 10013,Cruz2003,0:19:26,46:14:08,4.8594167,46.2355,M8,Cruz2003,...,...,...,...,ABDMG,Candidate,Schmidt2012,,,,,,,,,,,,12.603 ± 0.017,11.940 ± 0.021,11.502 ± 0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019-1004,00194339-1004551,001943.38-100454.8,,,West2008,0:19:43,-10:04:55,4.930824,-10.08197,M6,West2008,...,...,...,...,...,...,...,,,,,-11.3 ± 17.9,23.2 ± 17.5,,,,,,15.897 ± 0.068,15.216 ± 0.095,15.009 ± 0.137,14.703 ± 0.037,14.529 ± 0.072,12.698,,,,23.62 ± 0.87,23.22 ± 0.23,21.38 ± 0.06,18.96 ± 0.03,17.69 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019+5213,00194579+5213179,,,,,0:19:46,52:13:18,4.940804,52.221653,M9,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019+0027,00194688+0027462,001946.86+002744.9,,,West2008,0:19:47,0:27:46,4.945373,0.46278,M6,West2008,...,...,...,...,...,...,...,,,,,-39.2 ± 19.4,-131.0 ± 20.2,,,,,,15.699 ± 0.051,15.089 ± 0.066,14.910 ± 0.104,14.715 ± 0.037,14.564 ± 0.067,12.709,,,,24.91 ± 1.08,23.25 ± 0.24,21.08 ± 0.05,18.82 ± 0.03,17.59 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019+1556,00195336+1556038,001953.35+155603.7,,,West2008,0:19:53,15:56:04,4.972317,15.93438,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-11.1 ± 29.2,-14.0 ± 29.6,,,,,,16.163 ± 0.105,15.498 ± 0.111,15.313 ± 0.166,14.927 ± 0.041,14.563 ± 0.092,12.177,,,,23.56 ± 0.78,22.00 ± 0.08,21.24 ± 0.05,19.06 ± 0.02,17.82 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0019-1035,00195864-1035586,001958.63-103559.3,,,West2008,0:19:59,-10:35:59,4.994312,-10.59974,M6,West2008,...,...,...,...,...,...,...,,,,,-10.1 ± 26.7,-59.4 ± 25.1,,,,,,16.229 ± 0.089,15.610 ± 0.125,15.307 ± 0.172,14.956 ± 0.040,14.982 ± 0.102,12.616,,,,25.76 ± 1.00,22.76 ± 0.16,21.06 ± 0.05,19.05 ± 0.02,17.96 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0020+0043,00201390+0043267,002013.88+004324.9,,,West2008,0:20:14,0:43:27,5.057903,0.72404,M6,West2008,...,...,...,...,...,...,...,,,,,-31.7 ± 14.2,-185.8 ± 13.6,,,,,,14.610 ± 0.028,14.097 ± 0.034,13.834 ± 0.035,13.609 ± 0.027,13.334 ± 0.036,12.626,,,,23.39 ± 1.54,21.39 ± 0.06,19.98 ± 0.03,17.54 ± 0.02,16.34 ± 0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0020-0924,00205358-0924096,,,,West2008,0:20:54,-9:24:10,5.22323,-9.40269,M6,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,16.491 ± 0.100,15.871 ± 0.147,15.561 ± 0.213,,,,,,,23.39 ± 0.73,22.68 ± 0.17,21.35 ± 0.07,19.25 ± 0.03,18.15 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0020+1417,00205377+1417091,,,,West2008,0:20:54,14:17:09,5.224158,14.28587,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,,,,,,,,15.510 ± 0.049,14.908 ± 0.047,14.432 ± 0.075,,,,,,,24.22 ± 1.16,22.16 ± 0.08,20.45 ± 0.03,18.36 ± 0.02,17.21 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0020-1021,00205885-1021087,,,,West2008,0:20:59,-10:21:09,5.245152,-10.35241,M8,West2008,...,...,...,...,...,...,...,,,,,,,,,,,,15.798 ± 0.059,15.369 ± 0.108,14.629 ± 0.090,,,,,,,25.49 ± 1.02,25.40 ± 0.75,22.26 ± 0.15,19.50 ± 0.03,17.91 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0020-4414,00205982-4414340,,,DENIS-P J0020.9-4414,Tinney1998,0:21:00,-44:14:34,5.24925,-44.242778,M8,Tinney1998,M9.5,Bardalez-Gagliuffi2014,...,...,...,...,...,,,,,,,,,,,,14.900 ± 0.037,14.200 ± 0.041,13.714 ± 0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021-0922,00210466-0922304,002104.65-092230.0,,,West2008,0:21:05,-9:22:30,5.269415,-9.37508,M6,West2008,...,...,...,...,...,...,...,,,,,-22.3 ± 13.2,27.6 ± 15.1,,,,,,15.243 ± 0.046,14.685 ± 0.063,14.370 ± 0.067,14.193 ± 0.031,14.041 ± 0.050,12.227,,,,25.05 ± 1.12,21.64 ± 0.07,20.17 ± 0.03,18.12 ± 0.02,16.98 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021-4245,00211072-4245401,,,LEHPM1-0494 A,,0:21:11,-42:45:40,5.294677,-42.761154,,,M6,Caballero2007,,,,,,26.88,1.44,1.44,Dieterich2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021-6644,00211624-6644052,,,,,0:21:16,-66:44:05,5.317706,-66.734802,M7::,Reid2008,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021-1030,00212657-1030086,002126.68-103010.7,,,West2008,0:21:27,-10:30:09,5.360792,-10.50244,M6,West2008,...,...,...,...,...,...,...,,,,,131.0 ± 35.2,-175.3 ± 35.5,,,,,,16.421 ± 0.097,15.871 ± 0.168,15.908 ± 0.292,15.522 ± 0.053,15.175 ± 0.120,12.374,,,,23.88 ± 1.30,23.24 ± 0.24,21.69 ± 0.08,19.32 ± 0.02,18.21 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021+0054,00214109+0054351,002141.17+005435.1,,,West2008,0:21:41,0:54:35,5.421175,0.90973,M7,West2008,...,...,...,...,...,...,...,,,,,115.6 ± 23.0,5.8 ± 22.8,,,,,,16.007 ± 0.078,15.238 ± 0.070,15.126 ± 0.098,14.873 ± 0.040,14.628 ± 0.079,12.539,,,,23.52 ± 0.90,23.78 ± 0.41,21.92 ± 0.10,19.23 ± 0.02,17.86 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021+1509,00214412+1509407,002144.21+150941.3,,,West2008,0:21:44,15:09:41,5.433991,15.16135,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,120.7 ± 22.3,54.8 ± 23.9,,,,,,16.744 ± 0.138,16.151 ± 0.179,>15.497,15.629 ± 0.057,15.320 ± 0.168,12.538,,,,23.46 ± 0.63,24.27 ± 0.50,23.15 ± 0.24,19.82 ± 0.03,18.41 ± 0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0021+4220,00215090+4220503,,,,,0:21:51,42:20:50,5.46211,42.347309,M9:,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0022+0048,00220901+0048271,002209.01+004826.9,,,West2008,0:22:09,0:48:27,5.537518,0.80749,M6,West2008,...,...,...,...,...,...,...,,,,,-5.7 ± 31.7,-24.1 ± 33.1,,,,,,16.505 ± 0.099,15.676 ± 0.095,15.365 ± 0.139,15.302 ± 0.050,14.985 ± 0.111,12.413,,,,23.55 ± 0.70,22.66 ± 0.14,21.18 ± 0.06,19.12 ± 0.02,18.03 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0022-0935,00221068-0935482,002210.66-093548.4,,,West2008,0:22:11,-9:35:48,5.544543,-9.59676,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-25.2 ± 16.6,-19.9 ± 17.2,,,,,,15.956 ± 0.064,15.343 ± 0.102,14.967 ± 0.127,14.820 ± 0.037,14.683 ± 0.073,12.275 ± 0.346,,,,26.42 ± 0.54,22.58 ± 0.13,21.06 ± 0.05,18.92 ± 0.02,17.73 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0022+1203,00221379+1203049,,,,,0:22:14,12:03:05,5.557477,12.051383,M7.5,Cruz2003,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0022+1418,00222203+1418469,002222.03+141847.0,,,West2008,0:22:22,14:18:47,5.591828,14.31308,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-11.3 ± 21.3,7.9 ± 23.0,,,,,,16.085 ± 0.082,15.197 ± 0.084,15.209 ± 0.138,15.115 ± 0.046,14.657 ± 0.097,12.43,,,,22.70 ± 0.43,22.92 ± 0.15,21.25 ± 0.06,19.10 ± 0.02,17.84 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0022+0000,00222663+0000230,002226.63+000022.9,,,West2008,0:22:27,0:00:23,5.611012,0.00647,M8,West2008,...,...,...,...,...,...,...,,,,,-3.5 ± 10.8,-8.0 ± 32.0,,,,,,14.817 ± 0.031,14.160 ± 0.043,13.779 ± 0.050,13.478 ± 0.026,13.240 ± 0.036,12.385,,,,23.35 ± 0.76,23.27 ± 0.24,21.24 ± 0.06,18.40 ± 0.03,16.82 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+0057,00230885+0057140,002308.97+005714.0,,,West2008,0:23:09,0:57:14,5.78693,0.95389,M7,West2008,...,...,...,...,...,...,...,,,,,179.9 ± 12.0,3.5 ± 13.6,,,,,,13.984 ± 0.027,13.367 ± 0.030,13.025 ± 0.029,12.815 ± 0.024,12.586 ± 0.029,11.961,,,,22.88 ± 0.58,21.08 ± 0.05,19.36 ± 0.02,17.05 ± 0.01,15.79 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+1554,00231604+1554351,002316.06+155435.9,,,West2008,0:23:16,15:54:35,5.816853,15.90978,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,25.7 ± 20.9,66.4 ± 19.5,,,,,,16.405 ± 0.108,15.775 ± 0.168,15.421 ± 0.176,14.970 ± 0.039,14.868 ± 0.159,11.353,,,,23.71 ± 0.85,22.89 ± 0.15,21.01 ± 0.05,19.00 ± 0.02,17.94 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+1609,00231920+1609258,002319.16+160926.2,,,West2008,0:23:19,16:09:26,5.82999,16.15721,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-43.2 ± 9.2,32.6 ± 9.7,,,,,,15.961 ± 0.075,15.295 ± 0.108,14.818 ± 0.111,14.687 ± 0.034,14.710 ± 0.178,11.721,,,,25.31 ± 0.83,22.31 ± 0.09,20.71 ± 0.04,18.62 ± 0.02,17.49 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023-0853,00232184-0853156,002321.88-085315.2,,,West2008,0:23:22,-8:53:15,5.841103,-8.88763,M6,West2008,...,...,...,...,...,...,...,,,,,43.2 ± 17.7,32.0 ± 19.0,,,,,,16.089 ± 0.069,15.268 ± 0.114,14.932 ± 0.129,14.864 ± 0.038,14.690 ± 0.076,12.66,,,,25.03 ± 1.36,22.37 ± 0.11,20.76 ± 0.04,18.70 ± 0.02,17.64 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023-1111,00232561-1111062,002325.60-111106.7,,,West2008,0:23:26,-11:11:06,5.856756,-11.18512,M6,West2008,...,...,...,...,...,...,...,,,,,-14.7 ± 12.9,-42.5 ± 14.4,,,,,,15.427 ± 0.054,14.812 ± 0.069,14.547 ± 0.088,14.248 ± 0.030,13.967 ± 0.049,12.587,,,,23.95 ± 1.21,22.12 ± 0.14,20.43 ± 0.04,18.30 ± 0.02,17.12 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+1606,00234411+1606114,002344.08+160611.2,,,West2008,0:23:44,16:06:11,5.933762,16.10318,M6,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,-34.8 ± 20.2,-20.6 ± 22.2,,,,,,16.587 ± 0.143,16.074 ± 0.196,>16.291,15.568 ± 0.048,14.820 ± 0.152,11.888,,,,23.28 ± 0.56,22.83 ± 0.15,21.27 ± 0.06,19.25 ± 0.02,18.16 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023-3239,00234754-3239254,,,,,0:23:48,-32:39:25,5.948106,-32.657059,M7,Cruz2007,,,,,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023-1033,00235818-1033014,002358.19-103301.3,,,West2008,0:23:58,-10:33:01,5.992467,-10.55038,M6,West2008,...,...,...,...,...,...,...,,,,,4.7 ± 32.7,5.3 ± 33.8,,,,,,16.731 ± 0.157,16.130 ± 0.209,>15.444,15.682 ± 0.056,15.442 ± 0.139,12.718,,,,25.10 ± 1.49,22.73 ± 0.16,21.24 ± 0.05,19.40 ± 0.02,18.29 ± 0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0024+1537,00243221+1537340,002432.32+153733.5,,,West2008,0:24:32,15:37:34,6.134365,15.62604,M7,West2008,...,...,Galactic Extinction > 0.2 mag,West2008,...,...,...,,,,,129.9 ± 6.5,-44.8 ± 7.6,,,,,,14.407 ± 0.025,13.770 ± 0.028,13.406 ± 0.034,13.187 ± 0.025,12.936 ± 0.036,11.578,,,,23.56 ± 0.58,22.46 ± 0.10,20.80 ± 0.04,17.96 ± 0.02,16.42 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0025-0022,00250743-0022161,002507.57-002215.8,,,West2008,0:25:07,23:37:43,6.281118,-0.37114,M6,West2008,...,...,...,...,...,...,...,,,,,176.5 ± 10.6,31.7 ± 10.2,,,,,,13.641 ± 0.019,13.037 ± 0.028,12.668 ± 0.026,12.509 ± 0.025,12.280 ± 0.026,11.976 ± 0.295,,,,22.72 ± 0.44,20.18 ± 0.03,18.60 ± 0.03,16.52 ± 0.02,15.35 ± 0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
